Chebiid	descendants_total	descendants_with_def_components
57739	7055	1
64482	7070	1
57613	7057	1
62537	98787	1
58436	7056	1
78231	7056	1
57836	7056	1
57658	7056	1
57923	7056	1
58456	7056	1
58088	7056	1
58178	7056	1
57795	7056	1
60523	7056	1
60522	7056	1
77720	3570	1
58332	7056	1
57970	84	1
64982	84	1
58168	88	1
57875	91	1
64381	84	1
65213	88	1
64379	84	1
85225	15	1
85216	1177	1
65214	84	1
64771	84	1
64872	84	1
64840	84	1
76528	84	1
78168	18	1
77283	18	1
78182	1512	1
77284	1512	1
78193	20	1
77287	18	1
78186	1517	1
77286	1512	1
78202	18	1
77288	18	1
78197	1512	1
77290	1512	1
140403	252	1
140404	252	1
140451	21168	1
140514	21168	1
132533	18	1
132528	18	1
132531	1512	1
132526	1512	1
78873	18	1
78794	18	1
78876	1512	1
78792	1512	1
78880	18	1
78789	18	1
78224	1512	1
78355	1512	1
17855	132658	1
64760	51	1
49172	5220	1
47777	2601	1
35759	112	1
17389	54	1
77997	19	1
77297	18	1
598	919	1
77296	918	1
76225	919	1
36727	46820	1
62237	80200	1
167057	8001	1
75137	210	1
31488	94	1
52639	90	1
57674	85	1
78655	85	1
73203	85	1
67090	85	1
17636	85	1
82920	86	1
18390	88	1
82919	85	1
22801	85	1
82926	85	1
17950	86	1
75956	88	1
78426	85	1
24402	37069	434
17002	86	1
16113	0	0
28868	164	1
58342	405	1
84481	2	0
52640	90	1
75659	22	1
10036	30	1
24026	30	1
63410	6	1
84483	6	1
