Chebiid	descendants_total	descendants_with_def_components
57739	7055	168
64482	7070	168
57613	7057	168
62537	98787	2352
58436	7056	168
78231	7056	168
57836	7056	168
57658	7056	168
57923	7056	168
58456	7056	168
58088	7056	168
58178	7056	168
57795	7056	168
60523	7056	168
60522	7056	168
77720	3570	19
58332	7056	168
57970	84	84
64982	84	84
58168	88	84
57875	91	84
64381	84	84
65213	88	84
64379	84	84
85225	15	15
85216	1177	1176
65214	84	84
64771	84	84
64872	84	84
64840	84	84
76528	84	84
78168	18	15
77283	18	15
78182	1512	1260
77284	1512	1260
78193	20	15
77287	18	15
78186	1517	1259
77286	1512	1260
78202	18	15
77288	18	15
78197	1512	1260
77290	1512	1260
140403	252	210
140404	252	210
140451	21168	17640
140514	21168	17640
132533	18	15
132528	18	15
132531	1512	1260
132526	1512	1260
78873	18	15
78794	18	15
78876	1512	1260
78792	1512	1260
78880	18	15
78789	18	15
78224	1512	1260
78355	1512	1260
17855	132658	204
64760	51	51
49172	5220	102
47777	2601	102
35759	112	51
17389	54	51
77997	19	15
77297	18	15
598	919	765
77296	918	765
76225	919	765
36727	46820	1530
62237	80200	118
167057	8001	80
75137	210	3
31488	94	22
52639	90	16
57674	85	16
78655	85	16
73203	85	16
67090	85	16
17636	85	16
82920	86	16
18390	88	16
82919	85	16
22801	85	16
82926	85	16
17950	86	16
75956	88	16
78426	85	16
24402	37069	6944
17002	86	85
16113	0	0
28868	164	86
58342	405	85
84481	2	2
52640	90	84
75659	22	13
10036	30	11
24026	30	15
63410	6	5
84483	6	5
