Lipid ID	free fatty acid
SLM:000000278	SLM:000000047
SLM:000000284	SLM:000000048
SLM:000000728	SLM:000000296
SLM:000000493	SLM:000000407
SLM:000000732	SLM:000000409
SLM:000389159	SLM:000000411
SLM:000000416	SLM:000000414
SLM:000000419	SLM:000000418
SLM:000000297	SLM:000000449
SLM:000000383	SLM:000000510
SLM:000000385	SLM:000000539
SLM:000000626	SLM:000000540
SLM:000389168	SLM:000000543
SLM:000389158	SLM:000000550
SLM:000000649	SLM:000000719
SLM:000000439	SLM:000000825
SLM:000000441	SLM:000000826
SLM:000000587	SLM:000000827
SLM:000000485	SLM:000000829
SLM:000000707	SLM:000000853
SLM:000000709	SLM:000000855
SLM:000000629	SLM:000000856
SLM:000389162	SLM:000000928
SLM:000000734	SLM:000000929
SLM:000000591	SLM:000000930
SLM:000000764	SLM:000001084
SLM:000389161	SLM:000001088
SLM:000000632	SLM:000001095
SLM:000000737	SLM:000001101
SLM:000000489	SLM:000001103
SLM:000000776	SLM:000001108
SLM:000000494	SLM:000001112
SLM:000000593	SLM:000001118
SLM:000389164	SLM:000001122
SLM:000000730	SLM:000001124
SLM:000000608	SLM:000001131
SLM:000389157	SLM:000001194
SLM:000001035	SLM:000001195
SLM:000000705	SLM:000001196
SLM:000000275	SLM:000001197
SLM:000000630	SLM:000001199
SLM:000389160	SLM:000001200
SLM:000000678	SLM:000001201
SLM:000000676	SLM:000001202
SLM:000000628	SLM:000001203
SLM:000000763	SLM:000001204
SLM:000000674	SLM:000001205
SLM:000000778	SLM:000001206
SLM:000000874	SLM:000001208
SLM:000389165	SLM:000001209
SLM:000389166	SLM:000001210
SLM:000000875	SLM:000001211
SLM:000389167	SLM:000001212
SLM:000000610	SLM:000001213
SLM:000000751	SLM:000001214
SLM:000000739	SLM:000001215
SLM:000000876	SLM:000001216
SLM:000000766	SLM:000001217
SLM:000000753	SLM:000001218
SLM:000000741	SLM:000001219
SLM:000000877	SLM:000001220
SLM:000000768	SLM:000001221
SLM:000000755	SLM:000001222
SLM:000000743	SLM:000001223
SLM:000000878	SLM:000001224
SLM:000000770	SLM:000001225
SLM:000000757	SLM:000001226
SLM:000000745	SLM:000001227
SLM:000000772	SLM:000001228
SLM:000000759	SLM:000001229
SLM:000000747	SLM:000001230
SLM:000000774	SLM:000001231
SLM:000000761	SLM:000001232
SLM:000000749	SLM:000001233
SLM:000389169	SLM:000001234
SLM:000389170	SLM:000001235
SLM:000389171	SLM:000001236
SLM:000501071	SLM:000001128
