Lipid ID	n-acyl
SLM:000001044	SLM:000000510
SLM:000389981	SLM:000000853
SLM:000389983	SLM:000000719
SLM:000390017	SLM:000000855
SLM:000390018	SLM:000000825
SLM:000390019	SLM:000000826
SLM:000390020	SLM:000000829
SLM:000390021	SLM:000000856
SLM:000390023	SLM:000782351
SLM:000390024	SLM:000000418
SLM:000390028	SLM:000000449
SLM:000390077	SLM:000390063
SLM:000390083	SLM:000001196
SLM:000390084	SLM:000001194
SLM:000390085	SLM:000001195
SLM:000390086	SLM:000501374
SLM:000390087	SLM:000389507
SLM:000390088	SLM:000485338
SLM:000390089	SLM:000000867
SLM:000390091	SLM:000782348
SLM:000390093	SLM:000782349
SLM:000390094	SLM:000782350
SLM:000000147	SLM:000000418
SLM:000000149	SLM:000000510
SLM:000000294	SLM:000000296
SLM:000000406	SLM:000000407
SLM:000000408	SLM:000000409
SLM:000000410	SLM:000000411
SLM:000390098	SLM:000000427
SLM:000390116	SLM:000000829
SLM:000390118	SLM:000001084
SLM:000390180	SLM:000000825
SLM:000390181	SLM:000000719
SLM:000390186	SLM:000000826
SLM:000390192	SLM:000000855
SLM:000390194	SLM:000000853
SLM:000390196	SLM:000001196
SLM:000390198	SLM:000001195
SLM:000597824	SLM:000501366
SLM:000597825	SLM:000389384
SLM:000597826	SLM:000501363
SLM:000597827	SLM:000000849
SLM:000598120	SLM:000501492
SLM:000598130	SLM:000000449
SLM:000598131	SLM:000001194
SLM:000598132	SLM:000000827
SLM:000598133	SLM:000000414
SLM:000598134	SLM:000000539
SLM:000598135	SLM:000000540
SLM:000598136	SLM:000000543
SLM:000598137	SLM:000001101
SLM:000598138	SLM:000001108
SLM:000598139	SLM:000001112
SLM:000598140	SLM:000001206
SLM:000598141	SLM:000000929
SLM:000598142	SLM:000001210
SLM:000598143	SLM:000001215
SLM:000598144	SLM:000001219
SLM:000598145	SLM:000001223
SLM:000598146	SLM:000001227
SLM:000598147	SLM:000001230
SLM:000598148	SLM:000001233
SLM:000598149	SLM:000001236
SLM:000598150	SLM:000001212
SLM:000598151	SLM:000001217
SLM:000598152	SLM:000001221
SLM:000598153	SLM:000001225
SLM:000598154	SLM:000001228
SLM:000598155	SLM:000001231
SLM:000598156	SLM:000001234
SLM:000598157	SLM:000001200
SLM:000598158	SLM:000001088
SLM:000598159	SLM:000001120
SLM:000598160	SLM:000001103
SLM:000598161	SLM:000000928
SLM:000598162	SLM:000001122
SLM:000598163	SLM:000001124
SLM:000598164	SLM:000001209
SLM:000598165	SLM:000001214
SLM:000598166	SLM:000001218
SLM:000598167	SLM:000001222
SLM:000598168	SLM:000001226
SLM:000598169	SLM:000001229
SLM:000598170	SLM:000001232
SLM:000598171	SLM:000001235
SLM:000598172	SLM:000001208
SLM:000598173	SLM:000001211
SLM:000598174	SLM:000001216
SLM:000598175	SLM:000001220
SLM:000598176	SLM:000001224
SLM:000598177	SLM:000001204
SLM:000598178	SLM:000001202
SLM:000598179	SLM:000001203
SLM:000598180	SLM:000000930
SLM:000598181	SLM:000001118
SLM:000598182	SLM:000001131
SLM:000598183	SLM:000001213
SLM:000598184	SLM:000000550
SLM:000598185	SLM:000001201
SLM:000598186	SLM:000001197
SLM:000598187	SLM:000000047
SLM:000598188	SLM:000000048
SLM:000598189	SLM:000001198
SLM:000598190	SLM:000001199
SLM:000598191	SLM:000001095
SLM:000598192	SLM:000001205
SLM:000598193	SLM:000001207
SLM:000598194	SLM:000000856
SLM:000598195	SLM:000389154
SLM:000598196	SLM:000485643
SLM:000598197	SLM:000485644
SLM:000598198	SLM:000485645
SLM:000390106	SLM:000000510
SLM:000390108	SLM:000000826
SLM:000390110	SLM:000000829
SLM:000390112	SLM:000000418
SLM:000390114	SLM:000000296
SLM:000390117	SLM:000001084
SLM:000598199	SLM:000001196
SLM:000598200	SLM:000000853
SLM:000598201	SLM:000000855
SLM:000598202	SLM:000000719
SLM:000598203	SLM:000000825
SLM:000598204	SLM:000001101
SLM:000598205	SLM:000000407
SLM:000598206	SLM:000001103
SLM:000598207	SLM:000001202
SLM:000390182	SLM:000000296
SLM:000598219	SLM:000000296
SLM:000598233	SLM:000000296
SLM:000598247	SLM:000000296
SLM:000598261	SLM:000000296
SLM:000598275	SLM:000000296
SLM:000598289	SLM:000000296
SLM:000598303	SLM:000000296
SLM:000598317	SLM:000000296
SLM:000598331	SLM:000000296
SLM:000598345	SLM:000000296
SLM:000598359	SLM:000000296
SLM:000598373	SLM:000000296
SLM:000598387	SLM:000000296
SLM:000598401	SLM:000000296
SLM:000598415	SLM:000000296
SLM:000598429	SLM:000000296
SLM:000598443	SLM:000000296
SLM:000598457	SLM:000000296
SLM:000598471	SLM:000000296
SLM:000598485	SLM:000000296
SLM:000598499	SLM:000000296
SLM:000598513	SLM:000000296
SLM:000598527	SLM:000000296
SLM:000598541	SLM:000000296
SLM:000598555	SLM:000000296
SLM:000598569	SLM:000000296
SLM:000598583	SLM:000000296
SLM:000598597	SLM:000000296
SLM:000598611	SLM:000000296
SLM:000598625	SLM:000000296
SLM:000598639	SLM:000000296
SLM:000598653	SLM:000000296
SLM:000598667	SLM:000000296
SLM:000598681	SLM:000000296
SLM:000598695	SLM:000000296
SLM:000598709	SLM:000000296
SLM:000598723	SLM:000000296
SLM:000598737	SLM:000000296
SLM:000598751	SLM:000000296
SLM:000598765	SLM:000000296
SLM:000598779	SLM:000000296
SLM:000598793	SLM:000000296
SLM:000598807	SLM:000000296
SLM:000598821	SLM:000000296
SLM:000598835	SLM:000000296
SLM:000598849	SLM:000000296
SLM:000598863	SLM:000000296
SLM:000598877	SLM:000000296
SLM:000598891	SLM:000000296
SLM:000598905	SLM:000000296
SLM:000598919	SLM:000000296
SLM:000598933	SLM:000000296
SLM:000598947	SLM:000000296
SLM:000598961	SLM:000000296
SLM:000598975	SLM:000000296
SLM:000598989	SLM:000000296
SLM:000599003	SLM:000000296
SLM:000599017	SLM:000000296
SLM:000599031	SLM:000000296
SLM:000599045	SLM:000000296
SLM:000599059	SLM:000000296
SLM:000599073	SLM:000000296
SLM:000599087	SLM:000000296
SLM:000599101	SLM:000000296
SLM:000599115	SLM:000000296
SLM:000599129	SLM:000000296
SLM:000599143	SLM:000000296
SLM:000599157	SLM:000000296
SLM:000599171	SLM:000000296
SLM:000599185	SLM:000000296
SLM:000599199	SLM:000000296
SLM:000599213	SLM:000000296
SLM:000599227	SLM:000000296
SLM:000599241	SLM:000000296
SLM:000599255	SLM:000000296
SLM:000599269	SLM:000000296
SLM:000599283	SLM:000000296
SLM:000599297	SLM:000000296
SLM:000599311	SLM:000000296
SLM:000599325	SLM:000000296
SLM:000599339	SLM:000000296
SLM:000599353	SLM:000000296
SLM:000599367	SLM:000000296
SLM:000599381	SLM:000000296
SLM:000599395	SLM:000000296
SLM:000599409	SLM:000000296
SLM:000599423	SLM:000000296
SLM:000599437	SLM:000000296
SLM:000599451	SLM:000000296
SLM:000599465	SLM:000000296
SLM:000599479	SLM:000000296
SLM:000599493	SLM:000000296
SLM:000599507	SLM:000000296
SLM:000599521	SLM:000000296
SLM:000599535	SLM:000000296
SLM:000599549	SLM:000000296
SLM:000599563	SLM:000000296
SLM:000599577	SLM:000000296
SLM:000599591	SLM:000000296
SLM:000599605	SLM:000000296
SLM:000599619	SLM:000000296
SLM:000599633	SLM:000000296
SLM:000599647	SLM:000000296
SLM:000599661	SLM:000000296
SLM:000599675	SLM:000000296
SLM:000599689	SLM:000000296
SLM:000599703	SLM:000000296
SLM:000599717	SLM:000000296
SLM:000599731	SLM:000000296
SLM:000599745	SLM:000000296
SLM:000599759	SLM:000000296
SLM:000599773	SLM:000000296
SLM:000599787	SLM:000000296
SLM:000599801	SLM:000000296
SLM:000599815	SLM:000000296
SLM:000599829	SLM:000000296
SLM:000599843	SLM:000000296
SLM:000599857	SLM:000000296
SLM:000599871	SLM:000000296
SLM:000599885	SLM:000000296
SLM:000599899	SLM:000000296
SLM:000599913	SLM:000000296
SLM:000599927	SLM:000000296
SLM:000599941	SLM:000000296
SLM:000599955	SLM:000000296
SLM:000599969	SLM:000000296
SLM:000599983	SLM:000000296
SLM:000599997	SLM:000000296
SLM:000600011	SLM:000000296
SLM:000600025	SLM:000000296
SLM:000600039	SLM:000000296
SLM:000600053	SLM:000000296
SLM:000600067	SLM:000000296
SLM:000600081	SLM:000000296
SLM:000600095	SLM:000000296
SLM:000600109	SLM:000000296
SLM:000600123	SLM:000000296
SLM:000600137	SLM:000000296
SLM:000600151	SLM:000000296
SLM:000600165	SLM:000000296
SLM:000600179	SLM:000000296
SLM:000600193	SLM:000000296
SLM:000600207	SLM:000000296
SLM:000600221	SLM:000000296
SLM:000600235	SLM:000000296
SLM:000600249	SLM:000000296
SLM:000600263	SLM:000000296
SLM:000600277	SLM:000000296
SLM:000600291	SLM:000000296
SLM:000600305	SLM:000000296
SLM:000600319	SLM:000000296
SLM:000600333	SLM:000000296
SLM:000600347	SLM:000000296
SLM:000600361	SLM:000000296
SLM:000600375	SLM:000000296
SLM:000600389	SLM:000000296
SLM:000600403	SLM:000000296
SLM:000600417	SLM:000000296
SLM:000600431	SLM:000000296
SLM:000600445	SLM:000000296
SLM:000600459	SLM:000000296
SLM:000600473	SLM:000000296
SLM:000600487	SLM:000000296
SLM:000600501	SLM:000000296
SLM:000600515	SLM:000000296
SLM:000600529	SLM:000000296
SLM:000600543	SLM:000000296
SLM:000600557	SLM:000000296
SLM:000600571	SLM:000000296
SLM:000600585	SLM:000000296
SLM:000600599	SLM:000000296
SLM:000600613	SLM:000000296
SLM:000600627	SLM:000000296
SLM:000600641	SLM:000000296
SLM:000600655	SLM:000000296
SLM:000600669	SLM:000000296
SLM:000600683	SLM:000000296
SLM:000600697	SLM:000000296
SLM:000600711	SLM:000000296
SLM:000600725	SLM:000000296
SLM:000600739	SLM:000000296
SLM:000600753	SLM:000000296
SLM:000600767	SLM:000000296
SLM:000600781	SLM:000000296
SLM:000600795	SLM:000000296
SLM:000600809	SLM:000000296
SLM:000600823	SLM:000000296
SLM:000600837	SLM:000000296
SLM:000600851	SLM:000000296
SLM:000600865	SLM:000000296
SLM:000600879	SLM:000000296
SLM:000600893	SLM:000000296
SLM:000600907	SLM:000000296
SLM:000600921	SLM:000000296
SLM:000600935	SLM:000000296
SLM:000600949	SLM:000000296
SLM:000600963	SLM:000000296
SLM:000600977	SLM:000000296
SLM:000600991	SLM:000000296
SLM:000601005	SLM:000000296
SLM:000601019	SLM:000000296
SLM:000601033	SLM:000000296
SLM:000601047	SLM:000000296
SLM:000601061	SLM:000000296
SLM:000601075	SLM:000000296
SLM:000601089	SLM:000000296
SLM:000601103	SLM:000000296
SLM:000601117	SLM:000000296
SLM:000601131	SLM:000000296
SLM:000601145	SLM:000000296
SLM:000601159	SLM:000000296
SLM:000601173	SLM:000000296
SLM:000601187	SLM:000000296
SLM:000601201	SLM:000000296
SLM:000601215	SLM:000000296
SLM:000601229	SLM:000000296
SLM:000601243	SLM:000000296
SLM:000601257	SLM:000000296
SLM:000601271	SLM:000000296
SLM:000601285	SLM:000000296
SLM:000601299	SLM:000000296
SLM:000601313	SLM:000000296
SLM:000601327	SLM:000000296
SLM:000601341	SLM:000000296
SLM:000601355	SLM:000000296
SLM:000601369	SLM:000000296
SLM:000601383	SLM:000000296
SLM:000601397	SLM:000000296
SLM:000601411	SLM:000000296
SLM:000601425	SLM:000000296
SLM:000601439	SLM:000000296
SLM:000601453	SLM:000000296
SLM:000601467	SLM:000000296
SLM:000601481	SLM:000000296
SLM:000601495	SLM:000000296
SLM:000601509	SLM:000000296
SLM:000601523	SLM:000000296
SLM:000601537	SLM:000000296
SLM:000601551	SLM:000000296
SLM:000601565	SLM:000000296
SLM:000601579	SLM:000000296
SLM:000601593	SLM:000000296
SLM:000601607	SLM:000000296
SLM:000601621	SLM:000000296
SLM:000601635	SLM:000000296
SLM:000601649	SLM:000000296
SLM:000601663	SLM:000000296
SLM:000601677	SLM:000000296
SLM:000601691	SLM:000000296
SLM:000601705	SLM:000000296
SLM:000601719	SLM:000000296
SLM:000601733	SLM:000000296
SLM:000601747	SLM:000000296
SLM:000601761	SLM:000000296
SLM:000601775	SLM:000000296
SLM:000601789	SLM:000000296
SLM:000601803	SLM:000000296
SLM:000601817	SLM:000000296
SLM:000601831	SLM:000000296
SLM:000601845	SLM:000000296
SLM:000601859	SLM:000000296
SLM:000601873	SLM:000000296
SLM:000601887	SLM:000000296
SLM:000601901	SLM:000000296
SLM:000601915	SLM:000000296
SLM:000601929	SLM:000000296
SLM:000601943	SLM:000000296
SLM:000601957	SLM:000000296
SLM:000601971	SLM:000000296
SLM:000601985	SLM:000000296
SLM:000601999	SLM:000000296
SLM:000602013	SLM:000000296
SLM:000602027	SLM:000000296
SLM:000602041	SLM:000000296
SLM:000602055	SLM:000000296
SLM:000602069	SLM:000000296
SLM:000602083	SLM:000000296
SLM:000602097	SLM:000000296
SLM:000602111	SLM:000000296
SLM:000602125	SLM:000000296
SLM:000602139	SLM:000000296
SLM:000602153	SLM:000000296
SLM:000602167	SLM:000000296
SLM:000602181	SLM:000000296
SLM:000602195	SLM:000000296
SLM:000602209	SLM:000000296
SLM:000602223	SLM:000000296
SLM:000602237	SLM:000000296
SLM:000602251	SLM:000000296
SLM:000602265	SLM:000000296
SLM:000602279	SLM:000000296
SLM:000602293	SLM:000000296
SLM:000602307	SLM:000000296
SLM:000602321	SLM:000000296
SLM:000602335	SLM:000000296
SLM:000602349	SLM:000000296
SLM:000602363	SLM:000000296
SLM:000602377	SLM:000000296
SLM:000602391	SLM:000000296
SLM:000602405	SLM:000000296
SLM:000602419	SLM:000000296
SLM:000602433	SLM:000000296
SLM:000602447	SLM:000000296
SLM:000602461	SLM:000000296
SLM:000602475	SLM:000000296
SLM:000602489	SLM:000000296
SLM:000602503	SLM:000000296
SLM:000602517	SLM:000000296
SLM:000602531	SLM:000000296
SLM:000602545	SLM:000000296
SLM:000602559	SLM:000000296
SLM:000602573	SLM:000000296
SLM:000602587	SLM:000000296
SLM:000602601	SLM:000000296
SLM:000602615	SLM:000000296
SLM:000602629	SLM:000000296
SLM:000602643	SLM:000000296
SLM:000602657	SLM:000000296
SLM:000602671	SLM:000000296
SLM:000602685	SLM:000000296
SLM:000602699	SLM:000000296
SLM:000602713	SLM:000000296
SLM:000602727	SLM:000000296
SLM:000602741	SLM:000000296
SLM:000602755	SLM:000000296
SLM:000602769	SLM:000000296
SLM:000602783	SLM:000000296
SLM:000602797	SLM:000000296
SLM:000602811	SLM:000000296
SLM:000602825	SLM:000000296
SLM:000602839	SLM:000000296
SLM:000602853	SLM:000000296
SLM:000602867	SLM:000000296
SLM:000602881	SLM:000000296
SLM:000602895	SLM:000000296
SLM:000602909	SLM:000000296
SLM:000602923	SLM:000000296
SLM:000602937	SLM:000000296
SLM:000602951	SLM:000000296
SLM:000602965	SLM:000000296
SLM:000602979	SLM:000000296
SLM:000602993	SLM:000000296
SLM:000603007	SLM:000000296
SLM:000603021	SLM:000000296
SLM:000603035	SLM:000000296
SLM:000603049	SLM:000000296
SLM:000603063	SLM:000000296
SLM:000603077	SLM:000000296
SLM:000603091	SLM:000000296
SLM:000603105	SLM:000000296
SLM:000603119	SLM:000000296
SLM:000603133	SLM:000000296
SLM:000603147	SLM:000000296
SLM:000603161	SLM:000000296
SLM:000603175	SLM:000000296
SLM:000603189	SLM:000000296
SLM:000603203	SLM:000000296
SLM:000603217	SLM:000000296
SLM:000603231	SLM:000000296
SLM:000603245	SLM:000000296
SLM:000603259	SLM:000000296
SLM:000603273	SLM:000000296
SLM:000603287	SLM:000000296
SLM:000603301	SLM:000000296
SLM:000603315	SLM:000000296
SLM:000603329	SLM:000000296
SLM:000603343	SLM:000000296
SLM:000603357	SLM:000000296
SLM:000603371	SLM:000000296
SLM:000603385	SLM:000000296
SLM:000603399	SLM:000000296
SLM:000603413	SLM:000000296
SLM:000603427	SLM:000000296
SLM:000603441	SLM:000000296
SLM:000603455	SLM:000000296
SLM:000603469	SLM:000000296
SLM:000603483	SLM:000000296
SLM:000603497	SLM:000000296
SLM:000603511	SLM:000000296
SLM:000603525	SLM:000000296
SLM:000603539	SLM:000000296
SLM:000603553	SLM:000000296
SLM:000603567	SLM:000000296
SLM:000603581	SLM:000000296
SLM:000603595	SLM:000000296
SLM:000603609	SLM:000000296
SLM:000603623	SLM:000000296
SLM:000603637	SLM:000000296
SLM:000603651	SLM:000000296
SLM:000603665	SLM:000000296
SLM:000603679	SLM:000000296
SLM:000603693	SLM:000000296
SLM:000603707	SLM:000000296
SLM:000603721	SLM:000000296
SLM:000603735	SLM:000000296
SLM:000603749	SLM:000000296
SLM:000603763	SLM:000000296
SLM:000603777	SLM:000000296
SLM:000603791	SLM:000000296
SLM:000603805	SLM:000000296
SLM:000603819	SLM:000000296
SLM:000603833	SLM:000000296
SLM:000603847	SLM:000000296
SLM:000603861	SLM:000000296
SLM:000603875	SLM:000000296
SLM:000603889	SLM:000000296
SLM:000603903	SLM:000000296
SLM:000603917	SLM:000000296
SLM:000603931	SLM:000000296
SLM:000603945	SLM:000000296
SLM:000603959	SLM:000000296
SLM:000603973	SLM:000000296
SLM:000603987	SLM:000000296
SLM:000604001	SLM:000000296
SLM:000604015	SLM:000000296
SLM:000604029	SLM:000000296
SLM:000604043	SLM:000000296
SLM:000604057	SLM:000000296
SLM:000604071	SLM:000000296
SLM:000604085	SLM:000000296
SLM:000604099	SLM:000000296
SLM:000604113	SLM:000000296
SLM:000604127	SLM:000000296
SLM:000604141	SLM:000000296
SLM:000604155	SLM:000000296
SLM:000604169	SLM:000000296
SLM:000604183	SLM:000000296
SLM:000604197	SLM:000000296
SLM:000604211	SLM:000000296
SLM:000604225	SLM:000000296
SLM:000604239	SLM:000000296
SLM:000604253	SLM:000000296
SLM:000604267	SLM:000000296
SLM:000604281	SLM:000000296
SLM:000604295	SLM:000000296
SLM:000604309	SLM:000000296
SLM:000604323	SLM:000000296
SLM:000604337	SLM:000000296
SLM:000604351	SLM:000000296
SLM:000604365	SLM:000000296
SLM:000604379	SLM:000000296
SLM:000604393	SLM:000000296
SLM:000604407	SLM:000000296
SLM:000604421	SLM:000000296
SLM:000604435	SLM:000000296
SLM:000604449	SLM:000000296
SLM:000604463	SLM:000000296
SLM:000604477	SLM:000000296
SLM:000604491	SLM:000000296
SLM:000604505	SLM:000000296
SLM:000604519	SLM:000000296
SLM:000604533	SLM:000000296
SLM:000604547	SLM:000000296
SLM:000604561	SLM:000000296
SLM:000604575	SLM:000000296
SLM:000604589	SLM:000000296
SLM:000604603	SLM:000000296
SLM:000604617	SLM:000000296
SLM:000604631	SLM:000000296
SLM:000604645	SLM:000000296
SLM:000604659	SLM:000000296
SLM:000604673	SLM:000000296
SLM:000604687	SLM:000000296
SLM:000604701	SLM:000000296
SLM:000604715	SLM:000000296
SLM:000604729	SLM:000000296
SLM:000604743	SLM:000000296
SLM:000604757	SLM:000000296
SLM:000604771	SLM:000000296
SLM:000604785	SLM:000000296
SLM:000604799	SLM:000000296
SLM:000604813	SLM:000000296
SLM:000604827	SLM:000000296
SLM:000604841	SLM:000000296
SLM:000604855	SLM:000000296
SLM:000604869	SLM:000000296
SLM:000604883	SLM:000000296
SLM:000604897	SLM:000000296
SLM:000604911	SLM:000000296
SLM:000604925	SLM:000000296
SLM:000604939	SLM:000000296
SLM:000604953	SLM:000000296
SLM:000604967	SLM:000000296
SLM:000604981	SLM:000000296
SLM:000604995	SLM:000000296
SLM:000605009	SLM:000000296
SLM:000605023	SLM:000000296
SLM:000605037	SLM:000000296
SLM:000605051	SLM:000000296
SLM:000605065	SLM:000000296
SLM:000605079	SLM:000000296
SLM:000605093	SLM:000000296
SLM:000605107	SLM:000000296
SLM:000605121	SLM:000000296
SLM:000605135	SLM:000000296
SLM:000605149	SLM:000000296
SLM:000605163	SLM:000000296
SLM:000605177	SLM:000000296
SLM:000605191	SLM:000000296
SLM:000605205	SLM:000000296
SLM:000605219	SLM:000000296
SLM:000605233	SLM:000000296
SLM:000605247	SLM:000000296
SLM:000605261	SLM:000000296
SLM:000605275	SLM:000000296
SLM:000605289	SLM:000000296
SLM:000605303	SLM:000000296
SLM:000605317	SLM:000000296
SLM:000605331	SLM:000000296
SLM:000605345	SLM:000000296
SLM:000605359	SLM:000000296
SLM:000605373	SLM:000000296
SLM:000605387	SLM:000000296
SLM:000605401	SLM:000000296
SLM:000605415	SLM:000000296
SLM:000605429	SLM:000000296
SLM:000605443	SLM:000000296
SLM:000605457	SLM:000000296
SLM:000605471	SLM:000000296
SLM:000605485	SLM:000000296
SLM:000605499	SLM:000000296
SLM:000605513	SLM:000000296
SLM:000605527	SLM:000000296
SLM:000605541	SLM:000000296
SLM:000605555	SLM:000000296
SLM:000605569	SLM:000000296
SLM:000605583	SLM:000000296
SLM:000605597	SLM:000000296
