Lipid ID	sn2
SLM:000389263	SLM:000000202
SLM:000389265	SLM:000389264
SLM:000389276	SLM:000000202
SLM:000389277	SLM:000000202
SLM:000389993	SLM:000389992
SLM:000389994	SLM:000389269
SLM:000389996	SLM:000389995
SLM:000389997	SLM:000001241
SLM:000389998	SLM:000000583
SLM:000389999	SLM:000001238
SLM:000390000	SLM:000000202
SLM:000390001	SLM:000000202
SLM:000501485	SLM:000390046
SLM:000501497	SLM:000390046
SLM:000501498	SLM:000390046
SLM:000501499	SLM:000390046
SLM:000597959	SLM:000390046
SLM:000597961	SLM:000390046
SLM:000597962	SLM:000501120
SLM:000597964	SLM:000501120
SLM:000389268	SLM:000000202
SLM:000389270	SLM:000389269
SLM:000389272	SLM:000389271
SLM:000389273	SLM:000000583
SLM:000389274	SLM:000000584
SLM:000389275	SLM:000001241
